0.00, 1, red, Entry
0.00, 2, white, Entry
0.03, 1, red, Exit
0.03, 2, red, Entry
0.07, 2, red, Exit
0.07, 3, red, Entry
0.10, 3, red, Exit
0.10, 4, red, Entry
0.13, 4, red, Exit
0.13, 3, red, Entry
0.17, 3, red, Exit
0.17, 2, red, Entry
0.23, 2, red, Exit
0.23, 3, red, Entry
0.33, 3, red, Exit
0.33, 2, red, Entry
0.40, 2, red, Exit
0.40, 3, red, Entry
0.43, 3, red, Exit
0.43, 2, red, Entry
0.47, 2, red, Exit
0.47, 3, red, Entry
0.53, 3, red, Exit
0.53, 2, red, Entry
0.57, 2, red, Exit
0.57, 3, red, Entry
0.70, 3, red, Exit
0.70, 2, red, Entry
0.73, 2, red, Exit
0.73, 3, red, Entry
0.93, 3, red, Exit
0.93, 1, red, Entry
1.00, 1, red, Exit
1.00, 3, red, Entry
1.13, 3, red, Exit
1.13, 2, red, Entry
1.17, 2, red, Exit
1.17, 3, red, Entry
1.20, 3, red, Exit
1.20, 2, red, Entry
1.27, 2, red, Exit
1.27, 4, red, Entry
1.30, 4, red, Exit
1.30, 1, red, Entry
1.33, 1, red, Exit
1.33, 4, red, Entry
1.37, 4, red, Exit
1.37, 2, red, Entry
1.43, 2, red, Exit
1.43, 3, red, Entry
1.47, 3, red, Exit
1.47, 1, red, Entry
1.50, 1, red, Exit
1.50, 3, red, Entry
1.53, 3, red, Exit
1.53, 4, red, Entry
1.70, 4, red, Exit
1.70, 2, red, Entry
1.73, 2, red, Exit
1.73, 3, red, Entry
1.80, 3, red, Exit
1.80, 2, red, Entry
1.87, 2, red, Exit
1.87, 3, red, Entry
1.97, 3, red, Exit
1.97, 4, red, Entry
2.00, 4, red, Exit
2.00, 1, red, Entry
2.00, 4, yellow, Entry
2.03, 1, red, Exit
2.03, 3, red, Entry
2.07, 3, red, Exit
2.07, 4, red, Entry
2.10, 4, red, Exit
2.10, 2, red, Entry
2.13, 4, yellow, Exit
2.13, 2, yellow, Entry
2.17, 2, red, Exit
2.17, 4, red, Entry
2.30, 4, red, Exit
2.30, 3, red, Entry
2.33, 3, red, Exit
2.33, 2, red, Entry
2.40, 2, red, Exit
2.40, 3, red, Entry
2.50, 3, red, Exit
2.50, 4, red, Entry
